state,Total Area (sq km),lon1,lat1,lon2,lat2
Alabama,"135,767",-84.883333,30.183333,-88.466667,35
Alaska,"1,723,337",-130,51.333333,172,71.833333
Arizona,"295,234",-109.05,31.333333,-114.816667,37
Arkansas,"137,732",-89.65,33,-94.616667,36.5
California,"423,967",-114.133333,32.533333,-124.433333,42
Colorado,"269,601",-102,37,-109,41
Connecticut,"14,357",-71.783333,40.966667,-73.733333,42.05
Delaware,"6,446",-75.05,38.45,-75.783333,39.833333
Florida,"170,312",-80.033333,24.45,-87.633333,31
Georgia,"153,910",-80.84,30.356,-85.605,34.985
Hawaii,"28,313",-154.8,18.916667,-178.366667,28.45
Idaho,"216,443",-111.05,42,-117.25,49
Illinois,"149,995",-87.5,36.966667,-91.516667,42.5
Indiana,"94,326",-84.783333,37.766667,-88.1,41.766667
Iowa,"145,746",-90.306508,40.609938,-96.586697,43.502175
Kansas,"213,100",-94.583333,37,-102.05,40
Kentucky,"104,656",-81.966667,36.5,-89.566667,39.15
Louisiana,"135,659",-88.816667,28.933333,-94.05,33.016667
Maine,"91,633",-66.95,42.966667,-71.083333,47.466667
Maryland,"32,131",-75.05,37.883333,-79.483333,39.716667
Massachusetts,"27,336",-69.93333,41.233333,-73.5,42.883333
Michigan,"250,487",-82.116667,41.683333,-90.416667,48.3
Minnesota,"225,163",-89.483333,43.5,-97.233333,49.383333
Mississippi,"125,438",-88.1,30.2,-91.65,35
Missouri,"180,540",-89.1,36,-95.766667,40.616667
Montana,"380,831",-104.033333,44.35,-116.05,49
Nebraska,"200,330",-95.316667,40,-104.05,43
Nevada,"286,380",-114.033333,35,-120,42
New Hampshire,"24,214",-70.6,42.7,-72.55,45.3
New Jersey,"22,591",-73.9,38.933333,-75.566667,41.35
New Mexico,"314,917",-103,31.333333,-109.05,37
New York,"141,297",-71.85,40.5,-79.766667,45.016667
North Carolina,"139,391",-75.466667,33.833333,-84.316667,36.583333
North Dakota,"183,108",-96.55,45.933333,-104.05,49
Ohio,"116,098",-80.516667,38.4,-84.816667,41.983333
Oklahoma,"181,037",-94.433333,33.616667,-103,37
Oregon,"254,799",-116.466667,42,-124.633333,46.3
Pennsylvania,"119,280",-74.683333,39.716667,-80.516667,42.266667
Rhode Island,"4,001",-71.116667,41.15,-71.883333,42.016667
South Carolina,"82,933",-78.533333,32.033333,-83.35,35.216667
South Dakota,"199,729",-96.433333,42.483333,-104.05,45.933333
Tennessee,"109,153",-81.65,34.983333,-90.316667,36.683333
Texas,"695,662",-93.516667,25.833333,-106.65,36.5
Utah,"219,882",-109.05,37,-114.05,42
Vermont,"24,906",-71.466667,42.733333,-73.433333,45.016667
Virginia,"110,787",-75.25,36.533333,-83.683333,39.466667
Washington,"184,661",-116.916667,45.55,-124.766667,49
West Virginia,"62,756",-77.716667,37.2,-82.65,40.65
Wisconsin,"169,635",-86.766667,42.5,-92.9,47.083333
Wyoming,"253,335",-104.05,41,-111.05,45
